Rank,Year,Country,Elo,CONF,WCYEAR,WCPREVYEAR,WCQUALIFY,GDP,Population,GDPPER,FAVSPORT,GENPLAYERNUM,GENPLAYERYN,AVGAGE,MEDAGE,AGERANGE,AVGHEIGHT,MEDHEIGHT,AGECOUNT,HEIGHTCOUNT,Place,MaxRounds,Perf,PerfPer,1yrPopChg,1yrPopROC,4yrPopChg,4yrPopROC,5yrPopChg,5yrPopROC,8yrPopChg,8yrPopROC,10yrPopChg,10yrPopROC,1yrGDPChg,1yrGDPROC,4yrGDPChg,4yrGDPROC,5yrGDPChg,5yrGDPROC,8yrGDPChg,8yrGDPROC,10yrGDPChg,10yrGDPROC,1yrGDPPerChg,1yrGDPPerROC,4yrGDPPerChg,4yrGDPPerROC,5yrGDPPerChg,5yrGDPPerROC,8yrGDPPerChg,8yrGDPPerROC,10yrGDPPerChg,10yrGDPPerROC,1yrELOChg,1yrELOROC,4yrELOChg,4yrELOROC,5yrELOChg,5yrELOROC,8yrELOChg,8yrELOROC,10yrELOChg,10yrELOROC
206,2008,Afghanistan,809,AFC,0,0,0,10190529882,27294031,373.3611163,0,0,0,.,.,.,.,.,.,.,.,.,.,.,677239,0.025444051,3175052,0.131641227,4229180,0.183360387,4229180,0.183360387,8430032,0.446884672,346687427,0.035218709,4905064197,0.928028766,5606885636,1.223237523,.,.,.,.,3.52532033,0.009532123,154.2197635,0.703745603,174.6325727,0.878749321,.,.,.,.,0,0,-8,-0.009791922,-8,-0.009791922,-53,-0.061484919,-53,-0.061484919
208,2009,Afghanistan,777,AFC,0,1,0,12486943506,28004331,445.8932979,0,0,0,.,.,.,.,.,.,.,.,.,.,.,710300,0.026024005,2933533,0.117009957,3885352,0.161091064,3885352,0.161091064,8600655,0.443248743,2296413623,0.225347813,6211869934,0.989927825,7201477820,1.362505832,10025277568,4.072558105,.,.,72.53218162,0.194268172,195.599168,0.781477249,226.7519451,1.034729147,328.4836071,2.797755491,.,.,-32,-0.039555006,-32,-0.039555006,-40,-0.048959608,-85,-0.098607889,-85,-0.098607889
210,2010,Afghanistan,776,AFC,1,0,0,15936800636,28803167,553.3002894,0,0,0,.,.,.,.,.,.,.,.,.,.,.,798836,0.028525445,2909717,0.112372704,3732369,0.148873163,3732369,0.148873163,8709411,0.433438676,3449857131,0.276277147,8879202230,1.258105338,9661727065,1.539699408,11807979913,2.859891651,.,.,107.4069915,0.24088048,280.7372124,1.029989885,303.0061595,1.210600343,365.4551944,1.94551364,.,.,-1,-0.001287001,-35,-0.043156597,-33,-0.0407911,-86,-0.099767981,-86,-0.099767981
196,2011,Afghanistan,917,AFC,0,0,0,17930239400,29708599,603.5370231,0,0,0,.,.,.,.,.,.,.,.,.,.,.,905432,0.031435154,3091807,0.116160017,3815149,0.147340312,3815149,0.147340312,8742136,0.416958073,1993438764,0.125084,8086396944,0.82146753,10872640993,1.540558185,13346595153,2.911786874,15468573462,6.283782549,50.23673368,0.0907947,233.7012271,0.631905374,330.973946,1.214302207,404.8084795,2.036992131,486.1273323,4.140436185,141,0.181701031,108,0.133498146,106,0.130702836,100,0.122399021,55,0.063805104
199,2012,Afghanistan,917,AFC,0,0,0,20536542737,30696958,669.0090509,0,0,0,.,.,.,.,.,.,.,.,.,.,.,988359,0.033268449,3402927,0.124676601,4080166,0.153292929,4080166,0.153292929,8717035,0.396590789,2606303337,0.145357978,10346012854,1.015257594,10692700281,1.086232366,15251077051,2.885474612,16407722014,3.973948765,65.47202783,0.108480549,295.6479346,0.791855182,299.1732549,0.808935366,449.8676981,2.052865387,481.1639559,2.56149332,0,0,108,0.133498146,108,0.133498146,100,0.122399021,55,0.063805104
184,2013,Afghanistan,1053,AFC,0,1,0,20264253974,31731688,638.6125432,0,0,0,.,.,.,.,.,.,.,.,.,.,.,1034730,0.0337079,3727357,0.133099305,4437657,0.162587087,4437657,0.162587087,8666837,0.375759505,-272288762.9,-0.013258744,7777310468,0.622835401,10073724091,0.98853781,13989180402,2.229325321,15680609727,3.420991875,-30.39650769,-0.045435122,192.7192453,0.432209334,265.2514269,0.710442023,388.3184133,1.551448344,439.8839997,2.21349179,136,0.148309706,276,0.355212355,244,0.301606922,244,0.301606922,236,0.288861689
178,2014,Afghanistan,1096,AFC,1,0,0,20616104298,32758020,629.3452504,0,0,0,.,.,.,.,.,.,.,.,.,.,.,1026332,0.032344072,3954853,0.137306186,4753689,0.169748351,4753689,0.169748351,8639041,0.358184358,351850324.7,0.017363103,4679303662,0.293616251,8129160793,0.651012859,13558505892,1.921121763,15330638613,2.900527508,-9.267292833,-0.014511605,76.04496099,0.13743886,183.4519524,0.411425678,356.7821734,1.308989381,410.2038976,1.871868967,43,0.040835708,320,0.412371134,319,0.410553411,285,0.351418002,279,0.341493268
174,2015,Afghanistan,1143,AFC,0,0,0,19215562179,33736494,569.5779229,0,0,0,.,.,.,.,.,.,.,.,.,.,.,978474,0.029869754,4027895,0.135580106,4933327,0.171277242,4933327,0.171277242,8665696,0.34564899,-1400542119,-0.067934373,1285322779,0.071684641,3278761543,0.205735242,9371719724,0.952038776,12940488607,2.062205082,-59.76732745,-0.094967472,-33.95910015,-0.056266805,16.27763353,0.029419167,199.7421269,0.540083272,319.283793,1.275634363,47,0.042883212,226,0.246455834,367,0.472938144,334,0.412855377,334,0.412855377
170,2016,Afghanistan,1140,AFC,0,0,0,19469022208,34656032,561.7787463,0,0,0,.,.,.,.,.,.,.,.,.,.,.,919538,0.027256478,3959074,0.128972845,4947433,0.16653202,4947433,0.16653202,8762582,0.338409212,253460028.7,0.013190352,-1067520529,-0.051981511,1538782808,0.085820539,9278492325,0.910501459,12411423801,1.758590258,-7.799176646,-0.013692905,-107.2303046,-0.160282293,-41.75827679,-0.069189255,188.41763,0.504652525,289.2156693,1.061096288,-3,-0.002624672,223,0.243184297,223,0.243184297,331,0.409147095,329,0.40567201
172,2017,Afghanistan,1149,AFC,0,1,0,20815300220,35530081,585.8500638,0,0,0,.,.,.,.,.,.,.,.,.,.,.,874049,0.025220689,3798393,0.119703465,4833123,0.157446318,4833123,0.157446318,8913289,0.334874654,1346278012,0.06914975,551046246.3,0.027193019,278757483.3,0.01357373,8328356714,0.666965195,10971457765,1.114550321,24.07131751,0.042848395,-52.76247942,-0.082620487,-83.15898711,-0.124301737,139.9567659,0.313879501,216.0142678,0.584081558,9,0.007894737,96,0.091168091,232,0.252998909,372,0.478764479,340,0.420271941
171,2018,Afghanistan,1154,AFC,1,0,0,.,.,.,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0.00435161,58,0.052919708,101,0.095916429,378,0.487113402,345,0.42645241
53,1960,Albania,1556,UEFA,0,0,0,.,1608800,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
56,1961,Albania,1556,UEFA,0,1,0,.,1659800,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,51000,0.031700646,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.
58,1962,Albania,1556,UEFA,1,0,0,.,1711319,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,51519,0.031039282,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.
61,1963,Albania,1545,UEFA,0,0,0,.,1762621,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,51302,0.029978046,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-11,-0.007069409,.,.,.,.,.,.,.,.
71,1964,Albania,1501,UEFA,0,0,0,.,1814135,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,51514,0.029225795,205335,0.127632397,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-44,-0.028478964,-55,-0.035347044,.,.,.,.,.,.
80,1965,Albania,1454,UEFA,0,1,0,.,1864791,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,50656,0.02792295,204991,0.123503434,255991,0.159119219,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-47,-0.031312458,-102,-0.065552699,-102,-0.065552699,.,.,.,.
85,1966,Albania,1454,UEFA,1,0,0,.,1914573,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,49782,0.026695753,203254,0.118770375,254773,0.153496204,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,-102,-0.065552699,-102,-0.065552699,.,.,.,.
79,1967,Albania,1453,UEFA,0,0,0,.,1965598,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,51025,0.026650851,202977,0.11515635,254279,0.148586558,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-0.000687758,-92,-0.059546926,-103,-0.066195373,.,.,.,.
79,1968,Albania,1453,UEFA,0,0,0,.,2022272,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,56674,0.028832956,208137,0.114730712,259651,0.147309603,259651,0.147309603,-33507809,-0.94308282,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,-48,-0.031978681,-92,-0.059546926,-103,-0.066195373,.,.
80,1969,Albania,1453,UEFA,0,1,0,.,2081695,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,59423,0.029384277,216904,0.116315448,267560,0.147486268,267560,0.147486268,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,-1,-0.000687758,-48,-0.031978681,-103,-0.066195373,.,.
81,1970,Albania,1441,UEFA,1,0,0,.,2135479,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,53784,0.025836638,220906,0.115381341,270688,0.145157286,270688,0.145157286,526679,0.327373819,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-12,-0.008258775,-13,-0.008940853,-13,-0.008940853,-115,-0.073907455,-115,-0.073907455
71,1971,Albania,1483,UEFA,0,0,0,.,2187853,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,52374,0.024525645,222255,0.113072459,273280,0.142736788,273280,0.142736788,528053,0.318142547,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,0.029146426,30,0.020646937,29,0.019944979,-62,-0.04012945,-73,-0.046915167
73,1972,Albania,1458,UEFA,0,0,0,.,2243126,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,55273,0.02526358,220854,0.109210828,277528,0.141192655,277528,0.141192655,531807,0.310758544,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-25,-0.016857721,5,0.003441156,5,0.003441156,-43,-0.028647568,-98,-0.062982005
80,1973,Albania,1447,UEFA,0,1,0,.,2296752,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,53626,0.023906816,215057,0.103308602,274480,0.135728527,274480,0.135728527,534131,0.303032246,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-11,-0.007544582,-6,-0.004129387,-6,-0.004129387,-7,-0.004814305,-98,-0.063430421
79,1974,Albania,1447,UEFA,1,0,0,.,2350124,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,53372,0.023238034,214645,0.100513749,268429,0.128947324,268429,0.128947324,535989,0.295451551,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,6,0.004163775,-6,-0.004129387,-7,-0.004814305,-54,-0.035976016
82,1975,Albania,1447,UEFA,0,0,0,.,2404831,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,54707,0.023278346,216978,0.099173939,269352,0.126131889,269352,0.126131889,540040,0.289598137,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,-36,-0.024275118,6,0.004163775,-6,-0.004129387,-7,-0.004814305
81,1976,Albania,1465,UEFA,0,0,0,.,2458526,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,53695,0.022327972,215400,0.096026706,270673,0.123716264,270673,0.123716264,543953,0.284111914,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,0.01243953,7,0.004801097,-18,-0.012137559,12,0.008258775,11,0.007565337
76,1977,Albania,1465,UEFA,0,1,0,.,2513546,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,55020,0.022379263,216794,0.094391558,270420,0.120554976,270420,0.120554976,547948,0.278769107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,18,0.01243953,7,0.004801097,12,0.008258775,12,0.008258775
77,1978,Albania,1465,UEFA,1,0,0,.,2566266,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,52720,0.020974353,216142,0.091970466,269514,0.117345713,269514,0.117345713,543994,0.2690014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,18,0.01243953,18,0.01243953,24,0.016655101,12,0.008258775
79,1979,Albania,1465,UEFA,0,0,0,.,2617832,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,51566,0.020093786,213001,0.088572128,267708,0.113912287,267708,0.113912287,536137,0.257548296,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,18,0.01243953,18,0.01243953,-18,-0.012137559,12,0.008258775
78,1980,Albania,1471,UEFA,0,0,0,.,2671997,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,54165,0.020690785,213471,0.086828856,267166,0.111095541,267166,0.111095541,536518,0.25124012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.004095563,6,0.004095563,24,0.01658604,13,0.008916324,30,0.020818876
85,1981,Albania,1433,UEFA,0,1,0,.,2726056,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,54059,0.020231684,212510,0.084545897,267530,0.108817234,267530,0.108817234,538203,0.24599596,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-38,-0.025832767,-32,-0.021843003,-32,-0.021843003,-14,-0.00967519,-50,-0.033715442
85,1982,Albania,1433,UEFA,1,0,0,.,2784278,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,58222,0.021357595,218012,0.084953002,270732,0.107709189,270732,0.107709189,541152,0.241249043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,-32,-0.021843003,-32,-0.021843003,-14,-0.00967519,-25,-0.017146776
90,1983,Albania,1422,UEFA,0,0,0,.,2843960,.,1,0,0,.,.,.,.,.,.,.,.,.,.,.,59682,0.02143536,226128,0.086379875,277694,0.108209359,277694,0.108209359,547208,0.238252976,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-11,-0.007676204,-43,-0.029351536,-43,-0.029351536,-25,-0.017277125,-25,-0.017277125
76,1984,Albania,1490,UEFA,0,0,0,1924242453,2904429,662.5200523,1,0,0,.,.,.,.,.,.,.,.,.,.,.,60469,0.021262254,232432,0.086988122,286597,0.10947876,286597,0.10947876,554305,0.235862023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,0.047819972,19,0.012916383,25,0.017064846,25,0.017064846,43,0.029716655
80,1985,Albania,1472,UEFA,0,1,0,1965384586,2964762,662.9147926,1,0,0,.,.,.,.,.,.,.,.,.,.,.,60333,0.020772758,238706,0.087564599,292765,0.109567863,292765,0.109567863,559931,0.232835904,41142133.23,0.021380951,.,.,.,.,.,.,.,.,0.394740258,0.000595816,.,.,.,.,.,.,.,.,-18,-0.012080537,39,0.027215632,1,0.00067981,7,0.004778157,25,0.017277125
79,1986,Albania,1461,UEFA,1,0,0,2173750013,3022635,719.1572957,1,0,0,.,.,.,.,.,.,.,.,.,.,.,57873,0.019520285,238357,0.08560819,296579,0.10879417,296579,0.10879417,564109,0.229450085,208365426.3,0.106017635,.,.,.,.,.,.,.,.,56.24250314,0.084841225,.,.,.,.,.,.,.,.,-11,-0.007472826,28,0.019539428,28,0.019539428,-4,-0.002730375,-4,-0.002730375
81,1987,Albania,1438,UEFA,0,0,0,2156624900,3083605,699.3842921,1,0,0,.,.,.,.,.,.,.,.,.,.,.,60970,0.020171142,239645,0.084264547,299327,0.107506147,299327,0.107506147,570059,0.226794735,-17125112.5,-0.007878143,.,.,.,.,.,.,.,.,-19.77300362,-0.027494685,.,.,.,.,.,.,.,.,-23,-0.015742642,16,0.011251758,5,0.003489184,-27,-0.018430034,-27,-0.018430034
87,1988,Albania,1429,UEFA,0,0,0,2126000000,3142336,676.5667325,1,0,0,.,.,.,.,.,.,.,.,.,.,.,58731,0.019046214,237907,0.081911797,298376,0.104915681,298376,0.104915681,576070,0.224477899,-30624900,-0.014200383,201757547,0.104850377,.,.,.,.,.,.,-22.81755957,-0.03262521,14.04668021,0.021201894,.,.,.,.,.,.,-9,-0.006258693,-61,-0.040939597,7,0.004922644,-42,-0.028552005,-36,-0.024573379
91,1989,Albania,1415,UEFA,0,1,0,2335124988,3227943,723.4096102,1,0,0,.,.,.,.,.,.,.,.,.,.,.,85607,0.027243108,263181,0.088769689,323514,0.111386438,323514,0.111386438,610111,0.233059646,209124987.5,0.098365469,369740401.3,0.188126234,410882534.5,0.213529503,.,.,.,.,46.84287772,0.069236153,60.49481767,0.091255797,60.88955793,0.091905985,.,.,.,.,-14,-0.009797061,-57,-0.038722826,-75,-0.05033557,-18,-0.012561061,-50,-0.034129693
93,1990,Albania,1395,UEFA,1,0,0,2101624963,3286542,639.4638993,1,0,0,.,.,.,.,.,.,.,.,.,.,.,58599,0.018153666,263907,0.087310244,321780,0.10853485,321780,0.10853485,614545,0.229994644,-233500025,-0.099994658,-72125050,-0.033180011,136240376.3,0.069319958,.,.,.,.,-83.94571095,-0.116041741,-79.69339641,-0.110814973,-23.45089328,-0.035375426,.,.,.,.,-20,-0.014134276,-66,-0.045174538,-77,-0.052309783,-38,-0.026517795,-76,-0.051665534
82,1991,Albania,1438,UEFA,0,0,0,1139166646,3266790,348.7113178,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19752,-0.006009964,183185,0.059406117,244155,0.080775548,244155,0.080775548,540734,0.198357627,-962458316.7,-0.457959119,-1017458254,-0.47178267,-1034583367,-0.475944042,.,.,.,.,-290.7525815,-0.454681776,-350.6729743,-0.501402417,-370.4459779,-0.5151112,.,.,.,.,43,0.030824373,0,0,-23,-0.015742642,16,0.011251758,5,0.003489184
96,1992,Albania,1431,UEFA,0,0,0,709452583.9,3247039,218.4921659,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19751,-0.006045996,104703,0.033320116,163434,0.053000952,163434,0.053000952,462761,0.166205027,-429714062,-0.377217911,-1416547416,-0.666296997,-1447172316,-0.671035708,-1214789869,-0.631308112,.,.,-130.2191519,-0.373429669,-458.0745666,-0.677057479,-480.8921262,-0.687593547,-444.0278864,-0.670210486,.,.,-7,-0.004867872,2,0.00139958,-7,-0.004867872,-59,-0.039597315,-2,-0.001395673
107,1993,Albania,1383,UEFA,0,1,0,1228071038,3227287,380.5273711,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19752,-0.006083081,-656,-0.000203225,84951,0.027034346,84951,0.027034346,383327,0.134786354,518618454,0.731012143,-1107053950,-0.474087664,-897928962.2,-0.42235605,-737313548.4,-0.375149756,.,.,162.0352052,0.741606476,-342.8822392,-0.473980763,-296.0393614,-0.437561215,-282.3874215,-0.425978459,.,.,-48,-0.033542977,-32,-0.022614841,-46,-0.032190343,-89,-0.060461957,-39,-0.02742616
118,1994,Albania,1359,UEFA,1,0,0,1985673798,3207536,619.0651634,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19751,-0.006120001,-79006,-0.024039249,-20407,-0.006321983,-20407,-0.006321983,303107,0.104360272,757602760.3,0.616904672,-115951164.4,-0.055172148,-349451189.4,-0.149649887,-188076214.4,-0.086521547,61431345.09,0.031924951,238.5377924,0.626861063,-20.39873584,-0.031899746,-104.3444468,-0.144239785,-100.0921323,-0.139179749,-43.45488886,-0.0655903,-24,-0.017353579,-36,-0.025806452,-56,-0.039575972,-102,-0.069815195,-131,-0.087919463
92,1995,Albania,1451,UEFA,0,0,0,2424499009,3187784,760.5593758,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19752,-0.006157998,-79006,-0.024184597,-98758,-0.030049213,-98758,-0.030049213,223022,0.075224251,438825211,0.220995619,1285332363,1.128309337,322874046.6,0.153630668,267874109.1,0.124209875,459114422.9,0.233600297,141.4942123,0.228561096,411.848058,1.18105733,121.0954765,0.189370309,61.17508369,0.087469914,97.64458321,0.147295828,92,0.067696836,13,0.009040334,56,0.040143369,13,0.009040334,-21,-0.014266304
99,1996,Albania,1423,UEFA,0,0,0,3314898292,3168033,1046.358511,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19751,-0.00619584,-79006,-0.024331707,-98757,-0.030230593,-98757,-0.030230593,145398,0.048103062,890399282.6,0.367250834,2605445708,3.672473351,2175731646,1.909932716,1188898292,0.559218387,1141148279,0.524967578,285.7991349,0.375774915,827.8663448,3.788997841,697.6471929,2.000643963,369.7917782,0.546571033,327.201215,0.454978649,-28,-0.019297037,-8,-0.005590496,-15,-0.010431154,-6,-0.00419874,-38,-0.026009582
104,1997,Albania,1407,UEFA,0,1,0,2359903108,3148281,749.584649,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19752,-0.006234784,-79006,-0.024480624,-98758,-0.030414787,-98758,-0.030414787,64676,0.020974152,-954995183.4,-0.288091851,1131832071,0.921634039,1650450525,2.326371856,24778120.88,0.010611047,203278208.4,0.094257563,-296.7738617,-0.28362541,369.0572779,0.969857377,531.0924831,2.430716364,26.17503878,0.036182874,50.20035693,0.07177793,-16,-0.011243851,24,0.017353579,-24,-0.016771488,-8,-0.00565371,-31,-0.021557719
93,1998,Albania,1439,UEFA,1,0,0,2707123772,3128530,865.3021618,1,0,0,.,.,.,.,.,.,.,.,.,.,.,-19751,-0.006273582,-79006,-0.024631368,-98757,-0.030600625,-98757,-0.030600625,-13806,-0.004393547,347220663.8,0.147133441,721449974.1,0.363327539,1479052734,1.204370666,605498809.7,0.28810983,581123772.2,0.273341379,115.7175128,0.15437551,246.2369983,0.397756186,484.7747907,1.273955115,225.8382625,0.353168119,188.7354292,0.278960552,32,0.022743426,80,0.058866814,56,0.040491685,44,0.031541219,10,0.006997901
